No.DB1;LON;LAT;ELEV;sand;silt;clay;BULK;COARSE;OrganicCarbon;N;PH;Region;SLLL;SDUL;SSAT;clust4Org;clust3Org;clust3
183;-15.06972222;13.18972222;0.041438272;0.604464597;0.208992365;0.18652125;1.529891444;0.126441261;1.140205495;8.233098036;5.622379561;3;0.12584498;0.222165182;0.424229551;1;1;1
184;-15.06972222;13.26972222;0.049490741;0.667897947;0.159274782;0.172932582;1.550384794;0.093235774;0.985499832;7.6669313;5.493781186;3;0.115731814;0.198911427;0.415486659;1;1;1
185;-15.06972222;13.35972222;0.051962963;0.667270103;0.158655721;0.17452384;1.578722188;0.08408113;0.692317026;6.224406482;5.80761293;3;0.112597344;0.193570892;0.404657967;1;1;1
186;-15.06972222;13.43972222;0.047530864;0.610076693;0.18095328;0.208933476;1.555259597;0.081518099;0.947044944;7.758880596;5.534855481;3;0.136287592;0.228668359;0.414735173;1;1;1
187;-15.06972222;13.51972222;0.013925926;0.598971539;0.193899181;0.207033344;1.570713154;0.111766975;1.040927328;8.485619621;5.783310037;3;0.136371545;0.231720614;0.419168794;1;1;1
188;-14.97972222;12.75972222;0.057410494;0.501521756;0.281724656;0.216966212;1.449568399;0.137500566;1.779561086;10.95503582;5.402382084;3;0.150353049;0.26982548;0.456613955;4;3;2
189;-14.97972222;12.84972222;0.014916667;0.463346008;0.290468539;0.246196353;1.497154168;0.136848528;1.652639064;10.09282959;5.433180194;3;0.164768114;0.287523786;0.454236741;4;3;2
190;-14.97972222;12.92972222;0.051040123;0.556982126;0.237492672;0.205451695;1.490280692;0.129662674;1.677330036;9.658757211;5.572239104;3;0.143142996;0.251873413;0.447205374;4;3;2
191;-14.97972222;13.01972222;0.05487037;0.511409078;0.264827063;0.223729724;1.509878384;0.145589757;1.925329841;10.24187068;5.630154546;3;0.155752119;0.273721958;0.46003477;4;3;2
192;-14.97972222;13.09972222;0.055898148;0.561788583;0.247424413;0.190665462;1.533904642;0.128524662;1.865108585;10.81645324;5.583437087;3;0.13727711;0.247920927;0.456180437;4;3;1
193;-14.97972222;13.18972222;0.037191358;0.612429478;0.19355162;0.19404561;1.539618063;0.111796007;1.927084384;11.65865534;5.709142134;3;0.140237127;0.240858131;0.451960031;4;3;1
194;-14.97972222;13.26972222;0.05304321;0.669394511;0.163901899;0.166553721;1.532921569;0.097253594;1.633167712;9.543656119;5.551239478;3;0.121133682;0.209628814;0.44055973;1;1;1
195;-14.97972222;13.35972222;0.040546296;0.655775996;0.15300612;0.191288652;1.575374876;0.08324949;0.82912116;8.41826678;5.675081666;3;0.124364144;0.207834893;0.408612534;1;1;1
196;-14.97972222;13.43972222;0.026089506;0.719029975;0.127282932;0.153917037;1.566260253;0.091549095;0.869081381;7.644278348;5.907427731;3;0.102639498;0.175670407;0.411364105;1;1;1
197;-14.89972222;12.75972222;0.049478395;0.501434558;0.268423503;0.230194827;1.46679591;0.135403509;1.571316223;9.079403355;5.584366607;3;0.155359074;0.271906467;0.447338729;4;3;2
198;-14.89972222;12.84972222;0.052814815;0.561269309;0.218342616;0.220435053;1.473353855;0.109088643;1.60341991;9.627519968;5.525303217;3;0.150633292;0.256709869;0.442022712;4;3;2
199;-14.89972222;12.92972222;0.03042284;0.520645245;0.246995829;0.232411396;1.511897116;0.153845902;1.387589219;9.205746209;5.722724169;3;0.154692616;0.265990955;0.438014408;3;3;2
200;-14.89972222;13.01972222;0.053179012;0.53465815;0.256776321;0.208581179;1.506883862;0.092522796;1.81858567;9.310804194;5.823541446;3;0.146415703;0.260458903;0.454939258;4;3;1
201;-14.89972222;13.09972222;0.048111111;0.653767947;0.171496486;0.174866162;1.506525392;0.112232929;1.565387627;9.519422034;5.453573088;3;0.124869654;0.215452842;0.437759467;4;3;1
202;-14.89972222;13.18972222;0.055438272;0.589103892;0.220903126;0.189998093;1.520403414;0.092340457;1.914076303;11.83542215;5.68716833;3;0.137685465;0.243234042;0.455007309;4;3;1
203;-14.89972222;13.26972222;0.054154321;0.636277495;0.190115037;0.173687761;1.521304411;0.092862523;2.083396145;11.41969034;5.733183675;3;0.131209566;0.229884387;0.459570689;4;3;1
204;-14.89972222;13.35972222;0.047407407;0.652467477;0.159547976;0.187999317;1.545616351;0.085150667;1.217156854;7.805679701;5.722684059;3;0.127643493;0.214905692;0.422973505;1;1;1
205;-14.89972222;13.43972222;0.043342593;0.647159707;0.174284444;0.178697581;1.592457893;0.090030417;0.720385227;5.976825179;5.59914176;3;0.115572349;0.20053659;0.406354921;1;1;1
206;-14.80972222;12.75972222;0.058845679;0.494044371;0.240393835;0.26564285;1.460447379;0.122729677;1.531791209;9.923396357;5.638464667;3;0.174544553;0.288921361;0.444270463;4;3;2
207;-14.80972222;12.84972222;0.037006173;0.51147502;0.242038936;0.246322276;1.463858281;0.151858817;1.615975659;9.962167837;5.641484987;3;0.164834278;0.278308739;0.446188826;4;3;2
208;-14.80972222;12.92972222;0.05429321;0.531641449;0.251260626;0.217151917;1.47610859;0.142515528;2.186366792;11.28975943;5.444432984;3;0.155317944;0.272088457;0.468104149;4;3;2
209;-14.80972222;13.01972222;0.036509259;0.587524489;0.216957719;0.195380956;1.505488205;0.121515709;1.368280585;9.852976969;5.591182048;3;0.133800001;0.234731208;0.433430002;4;3;1
210;-14.80972222;13.09972222;0.030941358;0.598133016;0.230235742;0.171585082;1.560237619;0.149096667;1.560248924;10.87235267;5.514210684;3;0.122872911;0.22507317;0.443166654;4;3;1
211;-14.80972222;13.18972222;0.046478395;0.666147441;0.156641626;0.17724156;1.544696509;0.102913716;2.016520253;12.9654631;5.587509818;3;0.132451;0.224171216;0.4528267;4;3;1
212;-14.80972222;13.26972222;0.054641975;0.65540926;0.161689628;0.182866069;1.525062157;0.087897305;1.435702871;9.34536126;5.673519392;3;0.127646295;0.216349218;0.43140141;1;1;1
