DB,Cultivar,GY_Kg_H_,GYDSSAT,Year,LON,LAT,Sand,Silt,Clay,BULK,COARSE,OrganicCarbon,N,PH,SLLL,SDUL,SSAT,SSKS,RAD,TMIN,TMAX,RAIN,RHUM,WIND,RADstd,TMINstd,TMAXstd,RAINstd,RHUMstd,WINDstd,RADdx,TMINdx,TMAXdx,RAINdx,RHUMdx,WINDdx
DB2,N4,3500,1740,2021,-14.42,14.42,0.446,0.275,0.279,1.03,1.54,4.15,1.72,5.2,0.189455577,0.316463209,0.480002389,0.23,24.2004672897196,24.4781308411215,35.237523364486,3.26210280373832,62.0047196261682,2.27621495327103,1.99708679059268,1.98545964727799,4.78805663351454,7.56622075387865,23.0352739036838,1.00241172585528,-0.0275117370892019,-0.0286384976525822,-0.0383568075117371,3.33588138854507e-17,0.0965258215962442,-0.010093896713615
DB2,N4,3000,1740,2021,-14.61,14.4,0.426,0.268,0.306,0.94,1.55,6.7,2.64,5.4,0.215387893,0.350082145,0.52512653,0.23,24.2004672897196,24.4781308411215,35.237523364486,3.26210280373832,62.0047196261682,2.27621495327103,1.99708679059268,1.98545964727799,4.78805663351454,7.56622075387865,23.0352739036838,1.00241172585528,-0.0275117370892019,-0.0286384976525822,-0.0383568075117371,3.33588138854507e-17,0.0965258215962442,-0.010093896713615
DB2,N4,2000,1740,2021,-14.32,14.49,0.374,0.314,0.311,1.07,1.76,1.91,1.74,5.3,0.195117911,0.323182114,0.448250409,0.23,24.2004672897196,24.4781308411215,35.237523364486,3.26210280373832,62.0047196261682,2.27621495327103,1.99708679059268,1.98545964727799,4.78805663351454,7.56622075387865,23.0352739036838,1.00241172585528,-0.0275117370892019,-0.0286384976525822,-0.0383568075117371,3.33588138854507e-17,0.0965258215962442,-0.010093896713615
DB2,N4,2000,1730,2021,-12.24,14.47,0.461,0.236,0.303,1.53,1.62,0.64,0.6,5.6,0.18496024,0.295723053,0.413458831,0.43,24.2099065420561,24.9726635514019,34.9444392523364,3.28602803738318,63.4333177570094,2.21976635514019,2.00164626861287,2.93179925349549,4.8502329854064,7.03170830653053,23.5411564632296,0.990379280307655,-0.0264788732394366,-0.0551643192488263,-0.0505164319248827,-1.00076441656352e-16,0.141455399061033,-0.0091549295774648
DB2,N4,221.544,1690,2017,-15.97,12.8,0.628,0.154,0.218,1.61,0.71,0.49,0.47,6,0.13332249,0.217164255,0.390656232,0.43,23.561261682243,23.6369158878505,32.3107943925234,7.12060747663551,78.2081775700935,0.728691588785047,1.86160837036906,1.20313862720478,3.71566381444019,16.7924224221209,14.0307381187204,0.243991010810131,-0.0329577464788732,-0.00262910798122067,-0.0493896713615024,-5.33741022167211e-16,0.151971830985915,-0.00187793427230047
DB2,N4,1013.128,1810,2017,-15.85,12.7,0.621,0.146,0.233,1.61,0.66,0.73,0.76,6.1,0.143979429,0.22961595,0.395551228,0.43,23.561261682243,23.7070560747664,32.2964953271028,7.90799065420561,77.2328037383178,1.53504672897196,1.86160837036906,1.28381664942044,3.8408782687772,19.1785300826567,15.4684392173372,0.637893207586524,-0.0329577464788732,-0.00901408450704225,-0.05018779342723,-6.67176277709014e-16,0.171643192488263,-0.004037558685446
DB2,N4,1009.89,1810,2017,-15.93,12.63,0.643,0.147,0.21,1.64,0.81,0.53,0.62,6.1,0.128721083,0.210152993,0.390625507,0.43,23.561261682243,23.7070560747664,32.2964953271028,7.90799065420561,77.2328037383178,1.53504672897196,1.86160837036906,1.28381664942044,3.8408782687772,19.1785300826567,15.4684392173372,0.637893207586524,-0.0329577464788732,-0.00901408450704225,-0.05018779342723,-6.67176277709014e-16,0.171643192488263,-0.004037558685446
DB2,N4,445,1810,2017,-15.82,12.7,0.628,0.151,0.221,1.62,0.74,0.49,0.55,6.1,0.135112292,0.218860277,0.390654174,0.43,23.561261682243,23.7070560747664,32.2964953271028,7.90799065420561,77.2328037383178,1.53504672897196,1.86160837036906,1.28381664942044,3.8408782687772,19.1785300826567,15.4684392173372,0.637893207586524,-0.0329577464788732,-0.00901408450704225,-0.05018779342723,-6.67176277709014e-16,0.171643192488263,-0.004037558685446
DB2,N4,183.5,1810,2017,-15.8,12.73,0.61,0.187,0.203,1.63,0.7,0.43,0.58,6,0.124093914,0.211691615,0.390440588,0.43,23.561261682243,23.7070560747664,32.2964953271028,7.90799065420561,77.2328037383178,1.53504672897196,1.86160837036906,1.28381664942044,3.8408782687772,19.1785300826567,15.4684392173372,0.637893207586524,-0.0329577464788732,-0.00901408450704225,-0.05018779342723,-6.67176277709014e-16,0.171643192488263,-0.004037558685446
DB2,N4,377,1810,2017,-15.81,12.73,0.638,0.152,0.209,1.64,0.65,0.46,0.56,6,0.127648053,0.209777518,0.389561516,0.43,23.561261682243,23.7070560747664,32.2964953271028,7.90799065420561,77.2328037383178,1.53504672897196,1.86160837036906,1.28381664942044,3.8408782687772,19.1785300826567,15.4684392173372,0.637893207586524,-0.0329577464788732,-0.00901408450704225,-0.05018779342723,-6.67176277709014e-16,0.171643192488263,-0.004037558685446
