LON;LAT;ELEV;sand;silt;clay;BULK;COARSE;OrganicCarbon;N;PH;No.DB1;Region;SLLL;SDUL;SSAT;SSKS
-16.21972222;12.94972222;0.027944444;0.497648462;0.300503099;0.202108662;1.402873932;0.133396216;1.852080764;13.85054666;5.502986231;60;1;0.143011869;0.265476529;0.461825662;1.32
-16.21972222;13.02972222;0.022376543;0.43301604;0.271914799;0.295129994;1.400566628;0.146252617;1.832478674;12.87422107;5.336073199;61;1;0.192802143;0.3165839;0.461607235;0.23
-16.21972222;13.11972222;0.012126543;0.397682999;0.286680927;0.315514553;1.414090879;0.111656129;2.790509973;11.51461872;5.205610702;62;1;0.2106203;0.342259618;0.495478795;0.23
-16.13972222;12.51972222;0.029157407;0.451311556;0.310526796;0.238226822;1.276740881;0.149067172;2.680689968;14.47175694;5.393049191;63;1;0.170705846;0.304371103;0.496145118;1.32
-16.13972222;12.68972222;0.028401235;0.513188474;0.272165261;0.21470554;1.412167608;0.151396095;1.83807055;10.12683336;5.499681083;65;1;0.149853665;0.267715732;0.45764377;1.32
-16.13972222;12.77972222;0.037935185;0.496731917;0.261501334;0.24180816;1.403930255;0.129846823;1.870020285;12.90230424;5.541469522;66;1;0.164888625;0.283384818;0.45777963;0.43
-16.13972222;12.85972222;0.021867284;0.484431263;0.316580125;0.198909436;1.396297433;0.137617092;1.644362736;9.411733639;5.432813514;67;1;0.138804065;0.262603332;0.455145087;1.32
-16.13972222;12.94972222;0.036737654;0.420356185;0.315548804;0.264182503;1.404508297;0.148590226;1.854767382;11.69309831;5.391140756;68;1;0.176091112;0.306040218;0.46675273;1.32
-16.13972222;13.02972222;0.02787963;0.429537094;0.281718959;0.288802604;1.412594259;0.147934915;2.128626569;13.19933096;5.314536273;69;1;0.191878363;0.318705734;0.472306057;0.23
-16.13972222;13.11972222;0.037311728;0.440945039;0.268660701;0.290381106;1.433724531;0.137124074;1.983856866;20.97974639;5.455430678;70;1;0.191646922;0.31550522;0.465442225;0.23
-16.04972222;12.51972222;0.020067901;0.503159167;0.284244281;0.212510317;1.36325563;0.131056965;2.696317027;12.93678558;5.525506476;71;1;0.158260598;0.285477488;0.493449007;1.32
-16.04972222;12.60972222;0.012765432;0.470270392;0.312647869;0.221396018;1.202324994;0.129818738;1.955719833;14.73204119;5.35309761;72;1;0.154447622;0.281004178;0.467309103;1.32
-16.05034518;12.69008374;0.003286765;0.426559413;0.267277464;0.215303661;0.937445931;0.111353237;2.454012143;10.65823595;5.013709416;73;1;0.155986603;0.296190854;0.495411467;1.32
-16.04972222;12.77972222;0.013040123;0.432663805;0.296797502;0.270554356;1.239516595;0.121297582;1.893858523;9.584024915;5.173439883;74;1;0.18003634;0.307207207;0.465643041;0.23
-16.04972222;12.85972222;0.019530864;0.42459035;0.283568257;0.281800153;1.328841708;0.11494456;1.823885588;8.894844702;5.190406994;75;1;0.185396832;0.312169167;0.463694214;0.23
-16.04972222;12.94972222;0.036265432;0.423358532;0.297887057;0.278755316;1.429023852;0.139892519;2.130434908;12.11291021;5.485607128;76;1;0.186433442;0.315667346;0.474592811;0.23
-16.04972222;13.02972222;0.038552469;0.446683024;0.282294675;0.271014011;1.414979527;0.161659341;1.963576369;16.26685884;5.423945476;77;1;0.181099925;0.306159046;0.465708745;0.23
-16.04972222;13.11972222;0.023067901;0.430901069;0.289034265;0.280038449;1.442146587;0.1275586;2.070974861;12.55196277;5.334211097;78;1;0.18670687;0.314091126;0.471109971;0.23
-15.96972222;12.51972222;0.019132716;0.507332765;0.293577362;0.198909933;1.355754902;0.151697628;2.270384935;12.10686732;5.510108113;79;1;0.146204761;0.270621379;0.478304832;1.32
-15.97286458;12.60651042;0.00290625;0.254744326;0.15252849;0.104500607;0.467501931;0.059695047;1.930277295;7.374061664;2.661567241;80;1;0.090838917;0.286845543;0.501246035;0.68
-15.96972222;13.02972222;0.038759259;0.430351622;0.252197611;0.317407716;1.435354776;0.119088321;1.728800523;9.235367386;5.245962006;81;1;0.204018615;0.325184794;0.457572902;0.23
-15.96972222;13.11972222;0.042592593;0.436102281;0.261409235;0.302413728;1.422147955;0.118940667;2.146757065;13.89679383;5.4216395;82;1;0.199412025;0.323512142;0.470132135;0.23
-15.97972222;12.68972222;0.014938272;0.459236287;0.254069653;0.286686947;1.366841134;0.125383526;1.474502492;9.724894025;5.221111715;83;2;0.185354848;0.303557597;0.44650896;0.43
-15.97903846;12.77903846;0.008880769;0.444538953;0.283499912;0.234163233;1.142411492;0.068953909;1.466733549;9.709200979;4.996322678;84;2;0.156143003;0.282502553;0.450421172;1.32
-15.89972222;12.51972222;0.034484568;0.546112841;0.279776824;0.174277001;1.358341719;0.150736426;1.876247434;11.8664522;5.502036998;85;2;0.128315667;0.243929289;0.461112022;2.59
-15.90076111;12.61209444;0.0024;0.346158291;0.202035088;0.182041463;0.75735411;0.104872658;2.598131672;9.289351775;4.030270207;86;2;0.13914756;0.303590061;0.520329057;1.32
-15.89972222;12.68972222;0.024419753;0.541788871;0.270434819;0.187654869;1.403234384;0.139800205;1.876255354;10.45799819;5.632264647;87;2;0.135645288;0.250791565;0.459470432;2.59
-15.89972222;12.77972222;0.039148148;0.458413224;0.257705543;0.283984539;1.418471864;0.122938;1.734146377;12.51370411;5.645646185;88;2;0.186194434;0.306326988;0.455049654;0.43
-15.89972222;12.85972222;0.029095679;0.4527053;0.270742984;0.276662767;1.423421258;0.104212692;1.750051474;10.39587023;5.368101493;89;2;0.18227525;0.30428058;0.457020828;0.23
-15.89953799;12.95019473;0.012972509;0.428511369;0.266574814;0.246541695;1.204968813;0.092933499;2.142406069;8.898977507;4.898729704;90;2;0.169422278;0.302211449;0.477920163;1.32
-15.89972222;13.02972222;0.026021605;0.354229476;0.297985294;0.347787573;1.432422931;0.114831725;1.985666362;9.644681757;5.164864858;91;2;0.22093669;0.350695163;0.477519948;0.23
-15.89972222;13.11972222;0.031459877;0.421349814;0.275615881;0.303032294;1.444796102;0.087656898;1.937873053;10.61989282;5.136839082;92;2;0.197782234;0.323116643;0.46634503;0.23
-15.80972222;12.51972222;0.014777778;0.514534625;0.274622848;0.210718639;1.392399756;0.145588567;2.882933876;12.61461365;5.453993815;93;2;0.159628966;0.28640618;0.49943449;1.32
-15.80972222;12.60972222;0.017003086;0.482999802;0.257702638;0.259173459;1.414578487;0.118561309;1.488722337;10.65132571;5.359494477;94;2;0.170446021;0.287121636;0.444792892;0.43
-15.80972222;12.68972222;0.01507716;0.557740224;0.258182746;0.184022475;1.420819913;0.123790799;1.864643245;12.16240045;5.563213327;95;2;0.133588727;0.245691956;0.45772542;2.59
-15.80972222;12.77972222;0.036604938;0.484746478;0.264845553;0.250442491;1.435298302;0.123275768;1.638226555;11.02737131;5.55435267;96;2;0.167129777;0.285341045;0.450358395;0.43
-15.80972222;12.85972222;0.04216358;0.396385198;0.281789931;0.321716849;1.405681607;0.114903334;1.850236312;12.77674154;5.406474229;97;2;0.206776065;0.333320922;0.466983548;0.23
-15.80955851;12.95062738;0.007452471;0.340552384;0.310022221;0.269018539;1.043594178;0.090505256;2.364650318;9.42429182;4.904987576;98;2;0.181977532;0.328980714;0.499141373;0.23
-15.80972222;13.02972222;0.038194444;0.482911112;0.23212555;0.284955649;1.446713753;0.121114756;1.899464486;8.542775806;5.241546757;99;2;0.188539366;0.305357053;0.456136078;0.43
-15.80972222;13.11972222;0.036388889;0.520527034;0.206069939;0.273369287;1.456094071;0.108917711;2.124892027;10.25084541;5.262243615;100;2;0.184934245;0.297781235;0.458279217;0.43
-15.72972222;12.43972222;0.023972222;0.514111137;0.25050998;0.235342182;1.362326119;0.146295236;2.545593102;11.91479668;5.541552946;101;2;0.16881863;0.289832817;0.480670663;0.43
