LON,LAT,sand,silt,clay,BULK,COARSE,OrganicCarbon,N,PH,SLLL,SDUL,SSAT,SSKS
-15.5601,13.0328,0.581,0.177,0.241,1.62,1.13,0.6,0.79,5.8,0.14804469592,0.240284238519352,0.396347002615352,0.43
-15.5601,13.1175,0.58,0.179,0.241,1.67,0.96,0.62,0.59,5.9,0.1481814412,0.240681524910871,0.396799741150871,0.43
-15.5601,13.2022,0.505,0.253,0.242,1.2,1.14,1.35,0.8,5.7,0.1536287602,0.262878514575176,0.417960229135176,0.43
-15.5601,13.2869,0.467,0.293,0.24,1.64,0.98,0.72,0.69,5.8,0.1487749936,0.262871759558152,0.408221656518152,1.32
-15.4754,12.5246,0.478,0.266,0.256,1.56,2.59,0.62,0.54,6,0.15745178896,0.267976183266829,0.406519678114829,0.43
-15.4754,12.6093,0.549,0.181,0.27,1.47,1.17,2.13,1.19,5.8,0.1744203766,0.276865714438893,0.427130321958893,0.43
-15.4754,12.694,0.544,0.205,0.252,1.56,1.78,0.81,0.65,5.9,0.15601557136,0.255377733190683,0.403834532518683,0.43
-15.4754,12.7787,0.606,0.16,0.233,1.62,1.31,0.61,0.56,5.7,0.14323554436,0.231174051697683,0.394461339705683,0.43
-15.4754,12.8634,0.593,0.177,0.23,1.57,0.94,0.65,0.62,5.6,0.1418073478,0.232423674974295,0.396135414014295,0.43
-15.4754,12.9481,0.617,0.161,0.222,1.64,1.24,0.59,0.62,5.8,0.13649651188,0.22267016417076,0.39325565719476,0.43
-15.4754,13.0328,0.547,0.187,0.266,1.64,1.03,0.74,0.65,5.7,0.16378295224,0.261762317740069,0.402890476972069,0.43
-15.4754,13.1175,0.601,0.167,0.232,1.6,0.9,0.76,0.63,5.5,0.14369603824,0.233182816586708,0.397636357898708,0.43
-15.4754,13.2022,0.606,0.158,0.236,1.59,0.84,0.83,0.6,5.5,0.14651016472,0.235208795429353,0.398543982245353,0.43
-15.4754,13.2869,0.552,0.215,0.233,0.95,0.98,5.95,1.82,5.8,0.17843790532,0.299900659835575,0.507291791251575,0.43
-15.4754,13.3716,0.534,0.243,0.223,1.57,1.03,3.72,1.12,5.7,0.15823979344,0.273757754613096,0.465814630485096,0.43
-15.3907,12.6093,0.642,0.166,0.193,1.61,1.25,0.64,0.76,5.5,0.11941886272,0.202132579175332,0.393285141351332,2.59
-15.3907,12.694,0.638,0.144,0.219,1.61,0.7,0.58,0.68,5.6,0.13449398104,0.216788348900696,0.391733451412696,0.43
-15.3907,12.7787,0.649,0.137,0.214,1.56,1.44,0.52,0.66,5.7,0.13098958912,0.211128374621693,0.390024553757693,0.43
-15.3907,12.8634,0.608,0.15,0.242,1.6,1.44,0.55,0.61,5.7,0.14816020072,0.235238027788519,0.393345929724519,0.43
-15.3907,12.9481,0.629,0.143,0.228,1.56,1.23,0.68,0.61,5.7,0.14062040944,0.224725860294475,0.394088732166475,0.43
-15.3907,13.0328,0.582,0.183,0.235,1.55,0.95,0.66,0.67,5.6,0.1448914924,0.237403359108607,0.397245991668607,0.43
-15.3907,13.1175,0.641,0.131,0.229,1.59,1.08,0.7,0.73,5.6,0.14128748728,0.223227405276996,0.393582806540996,0.43
-15.3907,13.2022,0.624,0.125,0.251,1.61,0.88,0.68,0.85,5.7,0.15429937888,0.238777094008666,0.394416489112667,0.43
-15.3907,13.2869,0.618,0.17,0.211,1.6,1.59,0.65,0.53,5.5,0.13038607996,0.217019465703112,0.394411443551112,0.43
-15.306,12.694,0.582,0.174,0.245,1.57,1.23,0.76,0.69,5.5,0.1514492968,0.243973355944223,0.399323238024223,0.43
-15.306,12.7787,0.626,0.143,0.232,1.59,1.21,0.57,0.58,5.7,0.14224566184,0.226366772096084,0.392275709088084,0.43
-15.306,12.8634,0.599,0.151,0.25,1.54,0.82,0.79,0.84,5.6,0.154528927,0.243922510907864,0.398463380827864,0.43
-15.306,12.9481,0.609,0.154,0.238,1.54,0.97,0.69,0.63,5.8,0.14672756044,0.234269280558342,0.395746009230342,0.43
-15.306,13.0328,0.606,0.155,0.239,1.58,0.88,0.62,0.63,5.6,0.14686176808,0.234654935599788,0.394716270463788,0.43
-15.306,13.1175,0.61,0.158,0.231,1.53,0.99,0.67,0.67,5.7,0.1424390218,0.229935717510978,0.395269687630978,0.43
-15.2213,12.694,0.568,0.19,0.242,1.53,0.91,0.89,0.63,5.6,0.15058580152,0.246297214957522,0.402904967293522,0.43
-15.2213,12.7787,0.612,0.153,0.235,1.54,1.08,0.87,0.85,5.7,0.1461676654,0.233949178283915,0.398801016083915,0.43
-15.2213,12.8634,0.532,0.246,0.222,1.54,1.13,0.96,0.85,5.8,0.13950892768,0.243372814920943,0.406942503624943,0.43
-15.2213,12.9481,0.607,0.153,0.239,1.53,1.2,1.18,1.01,5.6,0.15064090456,0.240423480597941,0.404829594725941,0.43
-15.2213,13.0328,0.588,0.18,0.232,1.53,0.99,1.2,0.84,5.4,0.14673308032,0.240395498057019,0.407078656073019,0.43
-15.1366,12.694,0.484,0.256,0.26,1.51,1.1,0.96,0.82,5.6,0.1617154528,0.272123838691159,0.412986864611159,0.43
-15.1366,12.8634,0.517,0.24,0.243,1.49,1.37,0.93,0.96,5.4,0.15159518032,0.25687779824442,0.408289530540421,0.43
-15.3224,13.2705,0.604,0.156,0.239,1.57,0.79,0.65,0.63,5.4,0.14707459012,0.235349311734853,0.395417687790853,0.43
-15.3224,13.3552,0.574,0.204,0.222,1.58,0.74,0.63,0.69,5.4,0.13706124736,0.231518684957108,0.396957313805108,0.43
-15.2377,13.1011,0.56,0.184,0.255,1.5,1.06,0.86,0.67,5.5,0.15803665,0.254554500892597,0.403368597292597,0.43
-15.2377,13.1858,0.536,0.213,0.251,1.58,1,0.98,0.6,5.6,0.15650632312,0.258018678387155,0.407772753123155,0.43
-15.2377,13.2705,0.52,0.211,0.27,1.52,0.87,0.9,0.62,5.4,0.167117548,0.270269221177947,0.408691671577947,0.43
-15.2377,13.3552,0.626,0.148,0.225,1.51,0.79,0.69,0.61,5.3,0.138927685,0.223718962504809,0.394515707984809,0.43
-15.153,13.0164,0.564,0.195,0.24,1.5,1,0.96,0.69,5.5,0.1498833472,0.246696432631708,0.404562478071708,0.43
-15.153,13.1011,0.523,0.218,0.258,1.52,1.55,1.19,0.85,5.8,0.16186431628,0.266155420975562,0.413270055759562,0.43
-15.153,13.1858,0.517,0.22,0.263,1.53,0.94,1.19,0.8,5.3,0.16475588752,0.269846845809727,0.414049413225727,0.43
-15.153,13.2705,0.507,0.215,0.278,1.51,1.45,1.21,0.7,5.4,0.17352268132,0.279615145992778,0.416058360968778,0.43
-15.153,13.3552,0.576,0.182,0.242,1.51,1.15,0.75,0.78,5.3,0.14964243784,0.24333981316527,0.39958301295727,0.43
-15.153,13.4399,0.619,0.173,0.208,1.54,0.83,0.64,0.76,5.3,0.12852532864,0.215047570849079,0.394184347681079,0.43
-15.153,13.5246,0.541,0.218,0.24,1.49,0.81,1.2,0.83,5.3,0.1514869168,0.253524940626883,0.411355798866883,0.43
-15.0683,12.7623,0.515,0.225,0.26,1.53,1.6,0.73,0.76,5.4,0.160299607,0.264241281988628,0.405470707188628,0.43
-15.0683,12.847,0.53,0.216,0.255,1.52,1.6,0.97,0.61,5.5,0.158786371,0.261149462878427,0.408301348278427,0.43
-15.0683,12.9317,0.52,0.227,0.253,1.49,1.12,1.26,0.84,5.7,0.1594005916,0.264793394544884,0.414813285344884,0.43
-15.0683,13.0164,0.543,0.211,0.246,1.51,1.23,1.19,0.96,5.6,0.15489712876,0.256191513380926,0.411020288868926,0.43
-15.0683,13.1011,0.509,0.235,0.256,1.51,1.55,1.26,0.95,5.5,0.16113470488,0.26835380087163,0.41604586733563,0.43
-15.0683,13.1858,0.469,0.252,0.279,1.52,1.5,0.95,0.97,5.5,0.17265654352,0.284461563335609,0.415746480511609,0.43
-15.0683,13.2705,0.596,0.192,0.213,1.54,1,0.56,0.51,5.3,0.13109289136,0.221477003646956,0.393955437054956,0.43
-15.0683,13.3552,0.476,0.232,0.293,1.44,1.19,1.51,0.86,5.4,0.18366445876,0.29515409743247,0.42576432056047,0.43
-15.0683,13.4399,0.521,0.237,0.241,1.49,1.26,1.03,0.7,5.3,0.15104253112,0.256090428059014,0.409862051395014,0.43
-15.0683,13.5246,0.554,0.218,0.228,1.49,1.11,0.72,0.58,5.3,0.14132087104,0.23964429296226,0.40039542691426,0.43
-14.9836,12.7623,0.515,0.235,0.25,1.46,1.22,0.71,0.87,5.3,0.154335355,0.258739623446637,0.404460032246637,0.43
-14.9836,12.847,0.547,0.193,0.26,1.51,1.27,0.72,0.95,5.5,0.1601411584,0.258284017852563,0.402242273852563,0.43
