Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,PRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD,OZON7,WDATE
72,CRDA1201,RICER048,1,1,2012-08-11,72,8.8,12,12.8,21.3,42.6,0.24,30.4,22.6,26.3,27.6,20.4,26.3,27.6,129,394.1,0,0,NA,2012-08-11
73,CRDA1201,RICER048,1,1,2012-08-12,73,10.2,12,12.8,18.6,37.2,0.34,29.1,24,26.4,27.3,22,26.4,27.3,101,394.1,0,0,NA,2012-08-12
74,CRDA1201,RICER048,1,1,2012-08-13,74,10.8,12,12.8,22.5,45,0.2,29.5,23.2,26.2,27.2,21,26.2,27.2,335,394.1,0,0,NA,2012-08-13
75,CRDA1201,RICER048,1,1,2012-08-14,75,2,12,12.8,22.1,44.2,0.21,29.5,21.6,25.4,26.7,19.3,25.4,26.7,291,394.1,0,0,NA,2012-08-14
76,CRDA1201,RICER048,1,1,2012-08-15,76,6,12,12.8,18,36,0.36,29.5,22.5,25.8,27,20.4,25.8,27,239,394.3,0,0,NA,2012-08-15
77,CRDA1201,RICER048,1,1,2012-08-16,77,18,12,12.8,17.9,35.8,0.37,26.8,23.6,25.1,25.7,22.5,25.1,25.7,194,394.3,0,0,NA,2012-08-16
78,CRDA1201,RICER048,1,1,2012-08-17,78,19.9,12,12.8,16,32,0.43,28.1,23,25.4,26.3,21.4,25.4,26.3,169,394.3,0,0,NA,2012-08-17
79,CRDA1201,RICER048,1,1,2012-08-18,79,7.5,12,12.8,23.3,46.6,0.18,27.6,22.4,24.9,25.7,20.3,24.9,25.7,165,394.3,0,0,NA,2012-08-18
80,CRDA1201,RICER048,1,1,2012-08-19,80,3.5,12,12.8,16.1,32.2,0.43,29.6,22.4,25.8,27,20.1,25.8,27,102,394.3,0,0,NA,2012-08-19
81,CRDA1201,RICER048,1,1,2012-08-20,81,9.2,12,12.8,23.8,47.6,0.16,30.2,22.4,26.1,27.4,19.1,26.1,27.4,94,394.3,0,0,NA,2012-08-20
