*SOM C DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 22, 2025 15:19:20

*RUN   1        : F1 NE 4                   RICER048 CRDA1201    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : CRDA1201 WH ESSAI VARIETE DAROU PAKA 2012
 DATA PATH      :
 TREATMENT  1   : F1 NE 4                   RICER048
  
!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Cumul.
!               <---- SOM C in top layers ----> <- SOM + LIT C in top layers -> <------------ Total Soil Organic Carbon (SOM + LIT) ------------> <--------- Active Soil Organic Carbon (SOM1) ---------> <---- Intermediate Soil Organic C (SOM2) -----> <------- Passive Soil Organic C (SOM3) -------> <------------------ Litter Carbon --------------------> <-------------- Metabolic Litter Carbon --------------> <------------- Structural Litter Carbon -------------->  Resid.  <-Accum. CO2->
!               20cm-kg  20cm-% 40cm-kg  40cm-% 20cm-kg  20cm-% 40cm-kg  40cm-%     Total Surface    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100    Soil     0-5    5-15   15-30   30-45  45-100    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100 (kg/ha) Surface    Soil
@YEAR DOY   DAS  SCS20D  SC%20D  SCS40D  SC%40D  SLC20D  SL%20D  SLC40D  SL%40D      SOCD    SC0D    SCTD    SC1D    SC2D    SC3D    SC4D   SC5+D   S1C0D   S1CTD   S1C1D   S1C2D   S1C3D   S1C4D  S1C5+D   S2CTD   S2C1D   S2C2D   S2C3D   S2C4D  S2C5+D   S3CTD   S3C1D   S3C2D   S3C3D   S3C4D  S3C5+D    LC0D    LCTD    LC1D    LC2D    LC3D    LC4D   LC5+D   MEC0D   MECTD   MEC1D   MEC2D   MEC3D   MEC4D  MEC5+D   STC0D   STCTD   STC1D   STC2D   STC3D   STC4D  STC5+D    RESC   CO20C   CO2SC
 2012 192    40   45713   1.499   47579   1.575   45723   1.499   47584   1.576    259879       0  259879   11268   22565   35671   35705  154670       0    5479     208     427     681     693    3470  144116    5871   11760   18338   18362   89785  110263    5186   10372   16647   16647   61411       0      21       3       5       5       3       5       0       6       1       1       1       1       2       0      15       2       4       4       2       3       0       0    4066
 2012 193    41   45697   1.498   47564   1.575   45706   1.499   47570   1.575    259791       0  259791   11262   22557   35660   35694  154617       0    5440     206     424     676     688    3445  144068    5868   11756   18332   18356   89756  110263    5186   10372   16647   16647   61411       0      21       3       5       5       3       5       0       6       1       1       1       1       2       0      15       2       4       4       2       3       0       0    4154
 2012 194    42   45680   1.498   47550   1.574   45690   1.498   47555   1.575    259703       0  259703   11257   22550   35649   35684  154564       0    5402     203     421     672     684    3422  144019    5864   11752   18326   18350   89727  110263    5186   10372   16647   16647   61411       0      20       3       5       5       3       5       0       6       1       1       1       1       2       0      15       2       4       4       2       3       0       0    4242
 2012 195    43   45664   1.497   47535   1.574   45674   1.497   47540   1.574    259616       0  259616   11252   22543   35638   35672  154511       0    5364     201     418     667     679    3398  143969    5861   11747   18319   18344   89697  110262    5186   10372   16647   16647   61411       0      20       3       5       5       3       5       0       5       1       1       1       1       1       0      15       2       4       4       2       3       0       0    4329
 2012 196    44   45649   1.497   47520   1.574   45657   1.497   47525   1.574    259528       0  259528   11246   22536   35627   35661  154458       0    5326     199     415     663     674    3375  143920    5858   11743   18313   18337   89668  110262    5186   10372   16647   16647   61411       0      20       3       5       5       3       5       0       5       1       1       1       1       1       0      15       2       4       4       2       3       0       0    4417
 2012 197    45   45634   1.496   47507   1.573   45642   1.496   47512   1.573    259443       0  259443   11241   22529   35616   35651  154406       0    5290     197     413     658     670    3352  143871    5855   11740   18307   18331   89638  110262    5186   10372   16646   16647   61411       0      19       3       5       5       3       4       0       5       1       1       1       1       1       0      15       2       4       4       2       3       0       0    4502
 2012 198    46   45618   1.496   47493   1.573   45627   1.496   47498   1.573    259359       0  259359   11236   22522   35606   35641  154355       0    5255     195     410     654     666    3330  143823    5852   11735   18301   18325   89609  110262    5186   10372   16646   16647   61411       0      19       3       5       5       3       4       0       5       1       1       1       1       1       0      15       2       4       4       2       3       0       0    4586
 2012 199    47   45602   1.495   47479   1.572   45611   1.495   47484   1.572    259275       0  259275   11231   22515   35595   35630  154304       0    5220     193     407     650     661    3308  143774    5849   11731   18294   18319   89580  110262    5186   10372   16646   16647   61411       0      19       3       5       4       3       4       0       4       1       1       1       1       1       0      15       2       4       4       2       3       0       0    4670
 2012 200    48   45587   1.495   47464   1.572   45595   1.495   47469   1.572    259191       0  259191   11226   22508   35585   35619  154253       0    5185     192     404     646     657    3287  143725    5846   11727   18288   18313   89551  110262    5186   10372   16646   16646   61411       0      19       3       5       4       3       4       0       4       1       1       1       1       1       0      15       2       4       4       2       3       0       0    4754
 2012 201    49   45570   1.494   47450   1.571   45579   1.494   47455   1.571    259105       0  259105   11220   22501   35574   35609  154202       0    5150     190     401     641     653    3265  143674    5842   11723   18281   18307   89521  110262    5186   10372   16646   16646   61411       0      18       3       4       4       3       4       0       4       1       1       1       1       1       0      15       2       4       4       2       3       0       0    4840
